date,n,avg_conf,top1,n_top1
2026-01-13,2595,0.8200032329743079,0.05240847784200385,136
2026-01-14,198,0.8068075756532977,0.06060606060606061,12
2026-01-15,594,0.828193184025962,0.03367003367003367,20
2026-01-20,995,0.8140597489311467,0.04723618090452261,47
2026-01-21,351,0.7972900876377382,0.045584045584045586,16
2026-01-22,556,0.7917798751388951,0.06294964028776978,35
2026-01-27,1071,0.787132148551785,0.06442577030812324,69
2026-01-28,234,0.810664422555357,0.05128205128205128,12
2026-01-29,472,0.8228634316158496,0.046610169491525424,22
2026-02-04,1107,0.8180990999441698,0.04878048780487805,54
2026-02-05,449,0.7854051814644799,0.0556792873051225,25
2026-02-10,1020,0.8156635717580132,0.08725490196078431,89
2026-02-11,84,0.9206920677707309,0.03571428571428571,3
2026-02-12,28,0.7695619261690548,0.03571428571428571,1
