date,n,avg_conf,n_heading_in_model,heading_coverage,top1_known_headings,top1,top4,top10,outside_top10,n_top1,n_top4,n_top4_only,top4_known_headings,n_top10,n_top10_only,top10_known_headings,n_outside_top10,review_rate_t0.30,auto_coverage_t0.30,auto_error_rate_t0.30,auto_top4_rescue_t0.30,auto_top10_rescue_t0.30,review_rate_t0.40,auto_coverage_t0.40,auto_error_rate_t0.40,auto_top4_rescue_t0.40,auto_top10_rescue_t0.40,review_rate_t0.50,auto_coverage_t0.50,auto_error_rate_t0.50,auto_top4_rescue_t0.50,auto_top10_rescue_t0.50,review_rate_t0.60,auto_coverage_t0.60,auto_error_rate_t0.60,auto_top4_rescue_t0.60,auto_top10_rescue_t0.60,review_rate_t0.70,auto_coverage_t0.70,auto_error_rate_t0.70,auto_top4_rescue_t0.70,auto_top10_rescue_t0.70
2026-01-13,2595,0.6321649848998512,2577,0.9930635838150289,0.5118354675979822,0.5082851637764932,0.7603082851637765,0.8554913294797688,0.14450867052023122,1319,1973,654,0.7656189367481567,2220,247,0.8614668218859138,375,0.12023121387283237,0.8797687861271676,0.4472185720543145,0.2483574244415243,0.3293911519929917,0.2342967244701349,0.7657032755298652,0.4031202818319074,0.23553095118268746,0.30246602918973325,0.3491329479768786,0.6508670520231213,0.35642391947898167,0.20603907637655416,0.26465364120781526,0.446242774566474,0.553757225433526,0.3242867084203201,0.18789144050104384,0.23869171885873347,0.5495183044315992,0.4504816955684008,0.272027373823781,0.14884516680923868,0.1899059024807528
2026-01-14,198,0.6482568387732361,197,0.9949494949494949,0.6345177664974619,0.6313131313131313,0.8434343434343434,0.9090909090909091,0.09090909090909091,125,167,42,0.8477157360406091,180,13,0.9137055837563451,18,0.15151515151515152,0.8484848484848485,0.2916666666666667,0.19047619047619047,0.23809523809523808,0.2474747474747475,0.7525252525252525,0.2348993288590604,0.1610738255033557,0.18791946308724833,0.32323232323232326,0.6767676767676768,0.1865671641791045,0.12686567164179105,0.1417910447761194,0.4292929292929293,0.5707070707070707,0.12389380530973451,0.09734513274336283,0.09734513274336283,0.5252525252525253,0.47474747474747475,0.07446808510638298,0.05319148936170213,0.05319148936170213
2026-01-15,594,0.6256366859155672,586,0.9865319865319865,0.5767918088737202,0.569023569023569,0.8013468013468014,0.8872053872053872,0.1127946127946128,338,476,138,0.8122866894197952,527,51,0.8993174061433447,67,0.12457912457912458,0.8754208754208754,0.38076923076923075,0.21923076923076923,0.2865384615384615,0.25252525252525254,0.7474747474747475,0.3153153153153153,0.18468468468468469,0.25,0.3552188552188552,0.6447811447811448,0.2845953002610966,0.15926892950391644,0.2193211488250653,0.4797979797979798,0.5202020202020202,0.2524271844660194,0.13268608414239483,0.18122977346278318,0.5841750841750841,0.4158249158249158,0.1902834008097166,0.11740890688259109,0.15384615384615385
2026-01-20,995,0.6515263565670905,983,0.9879396984924623,0.560528992878942,0.5537688442211055,0.8150753768844221,0.8954773869346734,0.10452261306532663,551,811,260,0.8250254323499492,891,80,0.9064089521871821,104,0.10753768844221105,0.892462311557789,0.40540540540540543,0.24549549549549549,0.3186936936936937,0.20603015075376885,0.7939698492462312,0.369620253164557,0.23544303797468355,0.29873417721518986,0.31959798994974875,0.6804020100502512,0.31610044313146235,0.20088626292466766,0.2570162481536189,0.4402010050251256,0.5597989949748744,0.24416517055655296,0.14183123877917414,0.1867145421903052,0.5226130653266332,0.47738693467336685,0.19789473684210526,0.11368421052631579,0.14947368421052631
2026-01-21,351,0.6461742404009881,351,1.0,0.47293447293447294,0.47293447293447294,0.7692307692307693,0.8461538461538461,0.15384615384615385,166,270,104,0.7692307692307693,297,27,0.8461538461538461,54,0.09971509971509972,0.9002849002849003,0.5,0.2879746835443038,0.35443037974683544,0.20512820512820512,0.7948717948717948,0.46236559139784944,0.27598566308243727,0.32974910394265233,0.3561253561253561,0.6438746438746439,0.41150442477876104,0.22566371681415928,0.27876106194690264,0.4672364672364672,0.5327635327635327,0.3582887700534759,0.19786096256684493,0.2192513368983957,0.5384615384615384,0.46153846153846156,0.3271604938271605,0.1728395061728395,0.19135802469135801
2026-01-22,556,0.6732485668747117,551,0.9910071942446043,0.5480943738656987,0.5431654676258992,0.8309352517985612,0.9100719424460432,0.08992805755395683,302,462,160,0.838475499092559,506,44,0.9183303085299456,50,0.08633093525179857,0.9136690647482014,0.4153543307086614,0.2755905511811024,0.34448818897637795,0.17985611510791366,0.8201438848920863,0.3815789473684211,0.26096491228070173,0.31798245614035087,0.27697841726618705,0.7230215827338129,0.3383084577114428,0.23134328358208955,0.2835820895522388,0.39748201438848924,0.6025179856115108,0.2865671641791045,0.1880597014925373,0.2298507462686567,0.4910071942446043,0.5089928057553957,0.2508833922261484,0.15901060070671377,0.20141342756183744
2026-01-27,1071,0.662849105104985,1055,0.9850606909430439,0.4957345971563981,0.488328664799253,0.7338935574229691,0.8487394957983193,0.15126050420168066,523,786,263,0.7450236966824645,909,123,0.861611374407583,162,0.10644257703081232,0.8935574229691877,0.4785788923719958,0.23824451410658307,0.34691745036572624,0.20541549953314658,0.7945845004668534,0.4418331374853114,0.23149236192714454,0.32667450058754405,0.3127917833800187,0.6872082166199813,0.39809782608695654,0.21195652173913043,0.297554347826087,0.415499533146592,0.5845004668534081,0.3514376996805112,0.19488817891373802,0.25559105431309903,0.4976657329598506,0.5023342670401494,0.30297397769516726,0.1654275092936803,0.21933085501858737
2026-01-28,234,0.6745675699068949,232,0.9914529914529915,0.5905172413793104,0.5854700854700855,0.7991452991452992,0.9017094017094017,0.09829059829059829,137,187,50,0.8060344827586207,211,24,0.9094827586206896,23,0.08974358974358974,0.9102564102564102,0.38497652582159625,0.2112676056338028,0.3145539906103286,0.14957264957264957,0.8504273504273504,0.37185929648241206,0.20603015075376885,0.3065326633165829,0.27350427350427353,0.7264957264957265,0.3235294117647059,0.18235294117647058,0.2529411764705882,0.41452991452991456,0.5854700854700855,0.30656934306569344,0.1678832116788321,0.22627737226277372,0.5128205128205128,0.48717948717948717,0.2982456140350877,0.17543859649122806,0.23684210526315788
2026-01-29,472,0.6388481090918688,471,0.9978813559322034,0.5456475583864119,0.5444915254237288,0.7838983050847458,0.8601694915254238,0.13983050847457626,257,370,113,0.7855626326963907,406,36,0.861995753715499,66,0.1292372881355932,0.8707627118644068,0.41605839416058393,0.2384428223844282,0.30413625304136255,0.2605932203389831,0.739406779661017,0.3553008595988539,0.21203438395415472,0.2693409742120344,0.3516949152542373,0.6483050847457628,0.3137254901960784,0.1895424836601307,0.24183006535947713,0.4576271186440678,0.5423728813559322,0.24609375,0.14453125,0.19140625,0.538135593220339,0.461864406779661,0.21100917431192662,0.11467889908256881,0.16055045871559634
2026-02-04,1113,0.658160518972004,1098,0.9865229110512129,0.5601092896174863,0.5525606469002695,0.7726864330637916,0.8679245283018868,0.1320754716981132,615,860,245,0.7832422586520947,966,106,0.8797814207650273,147,0.11949685534591195,0.8805031446540881,0.39285714285714285,0.21326530612244898,0.286734693877551,0.21473495058400718,0.7852650494159928,0.33867276887871856,0.18192219679633867,0.2459954233409611,0.31356693620844567,0.6864330637915543,0.28534031413612565,0.15575916230366493,0.2081151832460733,0.42407906558849956,0.5759209344115005,0.22776911076443057,0.1294851794071763,0.16536661466458658,0.5148247978436657,0.48517520215633425,0.19814814814814816,0.10740740740740741,0.1388888888888889
