heading,count,share,cum_share,rank
Emergency Services,9,0.0005385996409335727,0.9198683423099935,341
Fiscal Policy,9,0.0005385996409335727,0.9204069419509271,342
Irish Sign Language,9,0.0005385996409335727,0.9209455415918607,343
Human Rights,8,0.00047875523638539794,0.9214242968282461,344
Trade Data,8,0.00047875523638539794,0.9219030520646315,345
Social Welfare Rates,8,0.00047875523638539794,0.9223818073010169,346
Organ Donation,8,0.00047875523638539794,0.9228605625374023,347
Judicial Reviews,8,0.00047875523638539794,0.9233393177737877,348
Regional Airports,8,0.00047875523638539794,0.9238180730101732,349
Gambling Sector,8,0.00047875523638539794,0.9242968282465586,350
Care of the Elderly,8,0.00047875523638539794,0.924775583482944,351
