question,department,question_clean,date,answer_type,question_number,refNo,deputy,deputy_source,language,raw_question,department_paper,source_question_paragraph,source_pq_paragraph
1. Deputy Séamus Mcgrath asked the Taoiseach when the Cabinet Committee on Housing will meet next. [64344/26],Taoiseach,when the cabinet committee on housing will meet next 64344 26,2026-09-16,written,1,64344/26,Séamus Mcgrath,SÉAMUS MCGRATH,en,To ask the Taoiseach when the Cabinet Committee on Housing will meet next.,Taoiseach,16,18
2. Deputy Ryan O'Meara asked the Taoiseach when the Cabinet Committee on Housing will next meet. [64294/26],Taoiseach,when the cabinet committee on housing will next meet 64294 26,2026-09-16,written,2,64294/26,Ryan O'Meara,RYAN O'MEARA,en,To ask the Taoiseach when the Cabinet Committee on Housing will next meet.,Taoiseach,20,22
3. Deputy Paul Mcauliffe asked the Taoiseach when the Cabinet Committee on Housing will next meet. [64265/26],Taoiseach,when the cabinet committee on housing will next meet 64265 26,2026-09-16,written,3,64265/26,Paul Mcauliffe,PAUL MCAULIFFE,en,To ask the Taoiseach when the Cabinet Committee on Housing will next meet.,Taoiseach,24,26
4. Deputy Peadar Tóibín asked the Taoiseach when the Cabinet Committee on Housing will next meet. [64827/26],Taoiseach,when the cabinet committee on housing will next meet 64827 26,2026-09-16,written,4,64827/26,Peadar Tóibín,PEADAR TÓIBÍN,en,To ask the Taoiseach when the Cabinet Committee on Housing will next meet.,Taoiseach,28,30
5. Deputy Paul Lawless asked the Taoiseach when the Cabinet Committee on Housing will next meet. [64905/26],Taoiseach,when the cabinet committee on housing will next meet 64905 26,2026-09-16,written,5,64905/26,Paul Lawless,PAUL LAWLESS,en,To ask the Taoiseach when the Cabinet Committee on Housing will next meet.,Taoiseach,32,34
6. Deputy Richard Boyd Barrett asked the Taoiseach when the Cabinet Committee on Housing will next meet. [65085/26],Taoiseach,when the cabinet committee on housing will next meet 65085 26,2026-09-16,written,6,65085/26,Richard Boyd Barrett,RICHARD BOYD BARRETT,en,To ask the Taoiseach when the Cabinet Committee on Housing will next meet.,Taoiseach,36,38
"7. Deputy Albert Dolan asked the Taoiseach when the Cabinet Committee on Justice, Migration and Social Affairs will meet next. [64288/26]",Taoiseach,when the cabinet committee on justice migration and social affairs will meet next 64288 26,2026-09-16,written,7,64288/26,Albert Dolan,ALBERT DOLAN,en,"To ask the Taoiseach when the Cabinet Committee on Justice, Migration and Social Affairs will meet next.",Taoiseach,40,42
"8. Deputy Pádraig O'Sullivan asked the Taoiseach when the Cabinet Committee on Justice, Migration and Social Affairs will meet next. [64345/26]",Taoiseach,when the cabinet committee on justice migration and social affairs will meet next 64345 26,2026-09-16,written,8,64345/26,Pádraig O'Sullivan,PÁDRAIG O'SULLIVAN,en,"To ask the Taoiseach when the Cabinet Committee on Justice, Migration and Social Affairs will meet next.",Taoiseach,44,46
"9. Deputy Tom Brabazon asked the Taoiseach when the Cabinet Committee on Justice, Migration and Social Affairs will next meet. [64291/26]",Taoiseach,when the cabinet committee on justice migration and social affairs will next meet 64291 26,2026-09-16,written,9,64291/26,Tom Brabazon,TOM BRABAZON,en,"To ask the Taoiseach when the Cabinet Committee on Justice, Migration and Social Affairs will next meet.",Taoiseach,48,50
"10. Deputy Paul Mcauliffe asked the Taoiseach when the Cabinet Committee on Justice, Migration and Social Affairs will next meet. [64266/26]",Taoiseach,when the cabinet committee on justice migration and social affairs will next meet 64266 26,2026-09-16,written,10,64266/26,Paul Mcauliffe,PAUL MCAULIFFE,en,"To ask the Taoiseach when the Cabinet Committee on Justice, Migration and Social Affairs will next meet.",Taoiseach,52,54
"11. Deputy Darren O'Rourke asked the Taoiseach when the Cabinet Committee on Justice, Migration and Social Affairs will next meet. [64814/26]",Taoiseach,when the cabinet committee on justice migration and social affairs will next meet 64814 26,2026-09-16,written,11,64814/26,Darren O'Rourke,DARREN O'ROURKE,en,"To ask the Taoiseach when the Cabinet Committee on Justice, Migration and Social Affairs will next meet.",Taoiseach,56,58
