question,department,question_clean,date,answer_type,question_number,refNo,deputy,deputy_source,language,raw_question,department_paper,source_question_paragraph,source_pq_paragraph
66. Deputy Sean Fleming asked the Minister for Social Protection for an ⁠update on MyFutureFund following the recent opt out window. [67284/26],Social,the minister for social protection for an update on myfuturefund following the recent opt out window 67284 26,2026-09-24,oral,66,67284/26,Sean Fleming,SEAN FLEMING,en,To ask the Minister for Social Protection for an ⁠update on MyFutureFund following the recent opt out window.,Social Protection,1239,1241
67. Deputy Darren O'Rourke asked the Minister for Social Protection the number and percentage of Disability Allowance application refusals overturned on appeal in 2025 and to date in 2026. [66589/26],Social,the minister for social protection the number and percentage of disability allowance application refusals overturned on appeal in 2025 and to date in 2026 66589 26,2026-09-24,oral,67,66589/26,Darren O'Rourke,DARREN O'ROURKE,en,To ask the Minister for Social Protection the number and percentage of Disability Allowance application refusals overturned on appeal in 2025 and to date in 2026.,Social Protection,1243,1245
68. Deputy Cathal Crowe asked the Minister for Social Protection if he will outline the level of service his Department already provides within the town of Shannon in County Clare; the way in which his Department proposes to address any deficiencies or expand their service offering in the town. [67218/26],Social,the minister for social protection if he will outline the level of service his department already provides within the town of shannon in county clare the way in which his department proposes to address any deficiencies or expand their service offering in the town 67218 26,2026-09-24,oral,68,67218/26,Cathal Crowe,CATHAL CROWE,en,To ask the Minister for Social Protection if he will outline the level of service his Department already provides within the town of Shannon in County Clare; the way in which his Department proposes to address any deficiencies or expand their service offering in the town.,Social Protection,1247,1249
"69. Deputy Barry Heneghan asked the Minister for Social Protection whether, in the context of Budget 2027, he intends to introduce a permanent cost of disability payment to recognise the additional and ongoing costs faced by people with disabilities; the estimated annual cost of introducing such a payment at different weekly rates; and the number of people who would potentially qualify. [67386/26]",Social,the minister for social protection whether in the context of budget 2027 he intends to introduce a permanent cost of disability payment to recognise the additional and ongoing costs faced by people with disabilities the estimated annual cost of introducing such a payment at different weekly rates and the number of people who would potentially qualify 67386 26,2026-09-24,oral,69,67386/26,Barry Heneghan,BARRY HENEGHAN,en,"To ask the Minister for Social Protection whether, in the context of Budget 2027, he intends to introduce a permanent cost of disability payment to recognise the additional and ongoing costs faced by people with disabilities; the estimated annual cost of introducing such a payment at different weekly rates; and the number of people who would potentially qualify.",Social Protection,1251,1253
70. Deputy Paul Lawless asked the Minister for Social Protection the number of persons claiming job-seekers allowance who are new to Ireland and have never worked in Ireland prior to claiming the allowance; and if he will make a statement on the matter. [67175/26],Social,the minister for social protection the number of persons claiming job-seekers allowance who are new to ireland and have never worked in ireland prior to claiming the allowance and 67175 26,2026-09-24,oral,70,67175/26,Paul Lawless,PAUL LAWLESS,en,To ask the Minister for Social Protection the number of persons claiming job-seekers allowance who are new to Ireland and have never worked in Ireland prior to claiming the allowance; and if he will make a statement on the matter.,Social Protection,1255,1257
"71. Deputy Seán Ó Fearghaíl asked the Minister for Social Protection the number of households that will receive the fuel allowance in the 2026/2027 season, by county. [67287/26]",Social,the minister for social protection the number of households that will receive the fuel allowance in the 2026 2027 season by county 67287 26,2026-09-24,oral,71,67287/26,Seán Ó Fearghaíl,SEÁN Ó FEARGHAÍL,en,"To ask the Minister for Social Protection the number of households that will receive the fuel allowance in the 2026/2027 season, by county.",Social Protection,1259,1261
72. Deputy Cormac Devlin asked the Minister for Social Protection if he will report on the impact to date of the change in income disregards for the carer’s allowance which came into effect in July 2026. [67290/26],Social,the minister for social protection if he will report on the impact to date of the change in income disregards for the carer s allowance which came into effect in july 2026 67290 26,2026-09-24,oral,72,67290/26,Cormac Devlin,CORMAC DEVLIN,en,To ask the Minister for Social Protection if he will report on the impact to date of the change in income disregards for the carer’s allowance which came into effect in July 2026.,Social Protection,1263,1265
73. Deputy Matt Carthy asked the Minister for Social Protection if he will amend the current weekly means limit for the increase for qualified adult allowance for recipients of the State pension and increase the current means limit of €100 which has been in place since 2007; and if he will make a statement on the matter. [66608/26],Social,the minister for social protection if he will amend the current weekly means limit for the increase for qualified adult allowance for recipients of the state pension and increase the current means limit of 100 which has been in place since 2007 and 66608 26,2026-09-24,oral,73,66608/26,Matt Carthy,MATT CARTHY,en,To ask the Minister for Social Protection if he will amend the current weekly means limit for the increase for qualified adult allowance for recipients of the State pension and increase the current means limit of €100 which has been in place since 2007; and if he will make a statement on the matter.,Social Protection,1267,1269
"74. Deputy Keira Keogh asked the Minister for Social Protection the steps his Department is taking to ensure that the current State pension provides an adequate income for older persons in view of the cost of living pressures that pensioners are reporting, particularly for pensioners living in rural areas; and if he will make a full statement on the matter. [67626/26]",Social,the minister for social protection the steps his department is taking to ensure that the current state pension provides an adequate income for older persons in view of the cost of living pressures that pensioners are reporting particularly for pensioners living in rural areas and if he will make a full statement on the matter 67626 26,2026-09-24,oral,74,67626/26,Keira Keogh,KEIRA KEOGH,en,"To ask the Minister for Social Protection the steps his Department is taking to ensure that the current State pension provides an adequate income for older persons in view of the cost of living pressures that pensioners are reporting, particularly for pensioners living in rural areas; and if he will make a full statement on the matter.",Social Protection,1271,1273
75. Deputy Mark Wall asked the Minister for Social Protection the progress his Department has made in reducing the waiting times for processing social welfare appeals. [67654/26],Social,the minister for social protection the progress his department has made in reducing the waiting times for processing social welfare appeals 67654 26,2026-09-24,oral,75,67654/26,Mark Wall,MARK WALL,en,To ask the Minister for Social Protection the progress his Department has made in reducing the waiting times for processing social welfare appeals.,Social Protection,1275,1277
76. Deputy Colm Burke asked the Minister for Social Protection to confirm whether consideration would be given to introducing a support specifically for older people to help with the cost of home heating oil. [67543/26],Social,the minister for social protection to confirm whether consideration would be given to introducing a support specifically for older people to help with the cost of home heating oil 67543 26,2026-09-24,oral,76,67543/26,Colm Burke,COLM BURKE,en,To ask the Minister for Social Protection to confirm whether consideration would be given to introducing a support specifically for older people to help with the cost of home heating oil.,Social Protection,1279,1281
77. Deputy Eoin Hayes asked the Minister for Social Protection for an update on the review carried out by his Department on the system of means tests for all schemes in his Department; and if he will lay the report before the House. [67512/26],Social,the minister for social protection for an update on the review carried out by his department on the system of means tests for all schemes in his department and if he will lay the report before the house 67512 26,2026-09-24,oral,77,67512/26,Eoin Hayes,EOIN HAYES,en,To ask the Minister for Social Protection for an update on the review carried out by his Department on the system of means tests for all schemes in his Department; and if he will lay the report before the House.,Social Protection,1283,1285
78. Deputy Seamus Healy asked the Minister for Social Protection to implement a disregard of carer’s allowance and carer’s benefit in the assessment of income for other social protection payments such as the working family payment. [67664/26],Social,the minister for social protection to implement a disregard of carer s allowance and carer s benefit in the assessment of income for other social protection payments such as the working family payment 67664 26,2026-09-24,oral,78,67664/26,Seamus Healy,SEAMUS HEALY,en,To ask the Minister for Social Protection to implement a disregard of carer’s allowance and carer’s benefit in the assessment of income for other social protection payments such as the working family payment.,Social Protection,1287,1289
79. Deputy Louise O'Reilly asked the Minister for Social Protection the steps he is taking to remove financial and administrative barriers faced by people when obtaining medical evidence and legal aid required for social welfare and housing applications; and if he will make a statement on the matter. [67576/26],Social,the minister for social protection the steps he is taking to remove financial and administrative barriers faced by people when obtaining medical evidence and legal aid required for social welfare and housing applications and 67576 26,2026-09-24,oral,79,67576/26,Louise O'Reilly,LOUISE O'REILLY,en,To ask the Minister for Social Protection the steps he is taking to remove financial and administrative barriers faced by people when obtaining medical evidence and legal aid required for social welfare and housing applications; and if he will make a statement on the matter.,Social Protection,1291,1293
"80. Deputy Ruairí Ó Murchú asked the Minister for Social Protection the reason carer's allowance payments are included in the calculation of income when deciding the eligibility for the BSCFA when other payments, such as WFP, are not; and whether there are plans to remove carers allowance from the BSCFA calculations. [67423/26]",Social,the minister for social protection the reason carer s allowance payments are included in the calculation of income when deciding the eligibility for the bscfa when other payments such as wfp are not and whether there are plans to remove carers allowance from the bscfa calculations 67423 26,2026-09-24,oral,80,67423/26,Ruairí Ó Murchú,RUAIRÍ Ó MURCHÚ,en,"To ask the Minister for Social Protection the reason carer's allowance payments are included in the calculation of income when deciding the eligibility for the BSCFA when other payments, such as WFP, are not; and whether there are plans to remove carers allowance from the BSCFA calculations.",Social Protection,1295,1297
